,"bioguide","first","first_last","icpsr","last","opensecrets","term_count","term_end","term_start","type","cycle"
391,"C001066","Kathy","Kathy Castor",20708,"Castor","N00027514",3,"2013-01-03","2011-01-05","rep",2010
392,"C001066","Kathy","Kathy Castor",20708,"Castor","N00027514",4,"2015-01-03","2013-01-03","rep",2012
393,"C001066","Kathy","Kathy Castor",20708,"Castor","N00027514",5,"2017-01-03","2015-01-06","rep",2014
394,"C001066","Kathy","Kathy Castor",20708,"Castor","N00027514",6,"2019-01-03","2017-01-03","rep",2016
395,"C001066","Kathy","Kathy Castor",20708,"Castor","N00027514",7,"2021-01-03","2019-01-03","rep",2018
403,"C000266","Steve","Steve Chabot",29550,"Chabot","N00003689",8,"2013-01-03","2011-01-05","rep",2010
404,"C000266","Steve","Steve Chabot",29550,"Chabot","N00003689",9,"2015-01-03","2013-01-03","rep",2012
405,"C000266","Steve","Steve Chabot",29550,"Chabot","N00003689",10,"2017-01-03","2015-01-06","rep",2014
406,"C000266","Steve","Steve Chabot",29550,"Chabot","N00003689",11,"2019-01-03","2017-01-03","rep",2016
407,"C000266","Steve","Steve Chabot",29550,"Chabot","N00003689",12,"2021-01-03","2019-01-03","rep",2018
409,"C001080","Judy","Judy Chu",20955,"Chu","N00030600",2,"2013-01-03","2011-01-05","rep",2010
410,"C001080","Judy","Judy Chu",20955,"Chu","N00030600",3,"2015-01-03","2013-01-03","rep",2012
411,"C001080","Judy","Judy Chu",20955,"Chu","N00030600",4,"2017-01-03","2015-01-06","rep",2014
412,"C001080","Judy","Judy Chu",20955,"Chu","N00030600",5,"2019-01-03","2017-01-03","rep",2016
413,"C001080","Judy","Judy Chu",20955,"Chu","N00030600",6,"2021-01-03","2019-01-03","rep",2018
414,"C001084","David","David N. Cicilline",21172,"Cicilline","N00032019",1,"2013-01-03","2011-01-05","rep",2010
415,"C001084","David","David N. Cicilline",21172,"Cicilline","N00032019",2,"2015-01-03","2013-01-03","rep",2012
416,"C001084","David","David N. Cicilline",21172,"Cicilline","N00032019",3,"2017-01-03","2015-01-06","rep",2014
417,"C001084","David","David N. Cicilline",21172,"Cicilline","N00032019",4,"2019-01-03","2017-01-03","rep",2016
418,"C001084","David","David N. Cicilline",21172,"Cicilline","N00032019",5,"2021-01-03","2019-01-03","rep",2018
421,"C001067","Yvette","Yvette D. Clarke",20733,"Clarke","N00026961",3,"2013-01-03","2011-01-05","rep",2010
422,"C001067","Yvette","Yvette D. Clarke",20733,"Clarke","N00026961",4,"2015-01-03","2013-01-03","rep",2012
423,"C001067","Yvette","Yvette D. Clarke",20733,"Clarke","N00026961",5,"2017-01-03","2015-01-06","rep",2014
424,"C001067","Yvette","Yvette D. Clarke",20733,"Clarke","N00026961",6,"2019-01-03","2017-01-03","rep",2016
425,"C001067","Yvette","Yvette D. Clarke",20733,"Clarke","N00026961",7,"2021-01-03","2019-01-03","rep",2018
431,"C001049","Wm.","Wm. Lacy Clay",20147,"Clay","N00012460",6,"2013-01-03","2011-01-05","rep",2010
432,"C001049","Wm.","Wm. Lacy Clay",20147,"Clay","N00012460",7,"2015-01-03","2013-01-03","rep",2012
